Другие Мотоциклы (другие) ,"750 см3 (24 л.с.), оппозитное, 2 цилиндра, 4 такта, 4 передачи, кардан, синий",50 000 ₽,1959,50 000 км
Honda NC 750 ,"750 см3 (55 л.с.), рядное, 2 цилиндра, 4 такта, роботизированная с двумя сцеплениями, цепь, белый",450 000 ₽,2014,10 000 км
Kawasaki Ninja 650 ,"650 см3 (68 л.с.), 2 цилиндра, 6 передач, цепь, оранжевый",520 000 ₽,2017,7 300 км
KTM 1190 Adventure ,"1 190 см3, оранжевый",776 000 ₽,2014,17 850 км
Honda CRF 1000L Africa Twin ,"1 000 см3, белый",886 000 ₽,2017,7 023 км
Harley-Davidson Softail Deluxe ,"1 700 см3, белый",1 000 000 ₽,2012,5 000 км
Harley-Davidson V-Rod ,"1 250 см3 (123 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, ремень, оранжевый",510 000 ₽,2007,25 762 км
Honda NC 700 ,"700 см3 (52 л.с.), рядное, 2 цилиндра, 4 такта, 6 передач, цепь, белый",320 000 ₽,2012,20 000 км
Урал ИМЗ-8.103 ,"650 см3 (32 л.с.), оппозитное, 2 цилиндра, 4 такта, 5 передач, кардан, синий",90 000 ₽,1991,1 км
Suzuki Bandit GSF 1200 ,"1 157 см3 (97 л.с.), рядное, 4 цилиндра, 4 такта, 5 передач, цепь, красный",139 000 ₽,1995,75 000 км
JMC 140 MX ,"140 см3 (13 л.с.), 1 цилиндр, 4 передачи, цепь, черный",60 000 ₽,2014,600 км
Suzuki RF 400 ,"400 см3, 4 цилиндра, 5 передач, цепь, красный",150 000 ₽,1993,89 000 км
BMW R 1200 GS ,"1 200 см3, кардан, синий",1 050 000 ₽,2016,36 000 км
Kawasaki Versys 650 ,"650 см3 (64 л.с.), 6 передач, цепь, красный",320 000 ₽,2011,35 000 км
Honda CBR 600F ,"600 см3 (110 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, красный",230 000 ₽,2006,49 000 км
Kawasaki Ninja 300 ,"296 см3 (39 л.с.), рядное, 2 цилиндра, 4 такта, 6 передач, цепь, зеленый",200 000 ₽,2013,14 000 км
Honda VFR 750 ,"750 см3, зеленый",148 349 ₽,1997,90 000 км
Kawasaki KX 450 ,"450 см3 (60 л.с.), 1 цилиндр, 4 такта, 5 передач, цепь, зеленый",290 000 ₽,2015,66 км
Honda NT650V Deauville ,"650 см3, v-образное, кардан, красный",167 287 ₽,2000,62 000 км
KTM 450 SMR ,"450 см3, 1 цилиндр, оранжевый",315 000 ₽,2010,120 км
Suzuki GSX-R 600 ,"600 см3 (118 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, белый",250 000 ₽,2002,46 369 км
Урал ИМЗ-8.103 ,"750 см3 (33 л.с.), 2 цилиндра, 4 такта, 4 передачи, кардан, синий",54 000 ₽,1991,14 800 км
Suzuki Boulevard M50 ,"800 см3 (58 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, кардан, черный",320 000 ₽,2008,22 000 км
Suzuki Boulevard M109R ,"1 900 см3 (150 л.с.), v-образное, 2 цилиндра, 4 такта, 5 прямых и задняя, кардан, белый",950 000 ₽,2009,38 000 км
Stels Flame 200 ,"200 см3 (13 л.с.), 1 цилиндр, 4 такта, 5 передач, красный",70 000 ₽,2014,3 000 км
Honda CRF 250M ,"250 см3 (23 л.с.), 1 цилиндр, 4 такта, 6 передач, цепь, красный",270 000 ₽,2014,6 000 км
Honda X4 ,"1 300 см3 (100 л.с.), рядное, 4 цилиндра, 4 такта, 5 передач, цепь, черный",200 000 ₽,1999,32 500 км
BRZ X3 ,"125 см3 (9 л.с.), рядное, 1 цилиндр, 4 передачи, цепь, оранжевый",50 000 ₽,2018,30 км
ИЖ Юпитер ,"350 см3 (26 л.с.), 2 цилиндра, 2 такта, красный",40 000 ₽,1986,14 000 км
Honda CB 750 ,"750 см3 (77 л.с.), 4 цилиндра, 4 такта, 5 передач, цепь, синий",150 000 ₽,1991,21 132 км
Honda VT 400 ,"400 см3, v-образное, 2 цилиндра, 4 такта, 5 передач, цепь, зеленый",210 000 ₽,2006,24 739 км
Suzuki RM-Z 450 ,"450 см3 (60 л.с.), 1 цилиндр, 4 такта, 5 передач, цепь, желтый",235 000 ₽,2012,135 км
Honda CBR 600RR ,"600 см3 (120 л.с.), 6 передач, цепь, cеребристый",310 000 ₽,2008,40 000 км
Harley-Davidson Electra Glide ,"1 584 см3 (77 л.с.), v-образное, 2 цилиндра, 4 такта, 6 передач, ремень, зеленый",800 000 ₽,2009,50 000 км
Suzuki Boulevard M109R ,"1 786 см3 (125 л.с.), v-образное, 2 цилиндра, кардан, зеленый",650 000 ₽,2011,10 000 км
Regal Raptor DD50E ,"50 см3, 1 цилиндр, 4 такта, 4 передачи, цепь, cеребристый",27 000 ₽,2009,6 000 км
Yamaha WR 450 F ,"449 см3 (53 л.с.), рядное, 1 цилиндр, 4 такта, 5 передач, цепь, синий",270 000 ₽,2012,10 000 км
Kawasaki VN900 Vulcan ,"900 см3 (50 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, ремень, черный",320 000 ₽,2007,40 011 км
BMW F 800 R ,"800 см3 (87 л.с.), 2 цилиндра, цепь, белый",300 000 ₽,2011,16 000 км
Harley-Davidson Sportster 1200 ,"1 200 см3, v-образное, 2 цилиндра, 4 такта, 5 передач, ремень, черный",630 000 ₽,2014,1 500 км
Kawasaki Ninja 250R ,"250 см3 (33 л.с.), рядное, 2 цилиндра, 4 такта, 6 передач, цепь, красный",150 000 ₽,2009,35 000 км
Yamaha XV 1900 ,"1 854 см3 (98 л.с.), v-образное, 2 цилиндра, 5 передач, ремень, черный",650 000 ₽,2011,11 300 км
Harley-Davidson Sportster 1200 ,"1 200 см3 (67 л.с.), 5 передач, ремень, черный",630 000 ₽,2012,11 900 км
Honda CBR 600F ,"600 см3 (110 л.с.), 4 цилиндра, 6 передач, цепь, черный",270 000 ₽,2002,42 000 км
Honda CB 400 Super Four ,"399 см3 (53 л.с.), рядное, 4 цилиндра, 6 передач, цепь, красный",145 000 ₽,1994,42 000 км
BMW R 1100 GS ,"1 085 см3 (80 л.с.), оппозитное, 2 цилиндра, 4 такта, 5 передач, кардан, красный",330 000 ₽,1998,22 700 км
Ducati Monster 696 ,"696 см3, черный",400 000 ₽,2012,9 500 км
Triumph Speedmaster ,"860 см3 (56 л.с.), рядное, 2 цилиндра, 4 такта, 5 передач, цепь, красный",350 000 ₽,2007,18 500 км
Honda VFR 800 ,"800 см3, v-образное, 4 цилиндра, cеребристый",275 000 ₽,2002,32 000 км
Yamaha YZF-R6 ,"600 см3, рядное, 4 цилиндра, красный",280 000 ₽,2005,33 000 км
KTM 690 SMC ,"654 см3 (64 л.с.), рядное, 1 цилиндр, 4 такта, 6 передач, цепь, оранжевый",310 000 ₽,2008,45 300 км
Suzuki Bandit GSF 750 ,"750 см3 (77 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, черный",110 000 ₽,1997,70 000 км
Suzuki GSX-R 1000 ,"1 000 см3 (185 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, красный",400 000 ₽,2007,15 000 км
KTM 390 Duke ,"390 см3, 1 цилиндр, 6 передач, цепь, оранжевый",325 000 ₽,2018,4 800 км
Harley-Davidson Sportster 883 ,"883 см3, 5 передач, ремень, оранжевый",470 000 ₽,2006,30 000 км
Kawasaki Versys 650 ,"650 см3 (64 л.с.), рядное, 2 цилиндра, 4 такта, 6 передач, цепь, cеребристый",230 000 ₽,2007,66 000 км
